,model_data
Chrysler,"['2500', 'Alero', 'Astro', 'Avalanche', 'Aspen', 'Crossfire', 'Daytona', 'ES', 'Grand Voyager', 'GS', 'GTS', 'Imperial', 'Le Baron', 'Neon', 'New Yorker', 'Pacifica', 'Prowler', 'PT Cruiser', 'Ram Van', 'Saratoga', 'Sebring', 'Stratus', 'Town & Country', 'Valiant', 'Viper', 'Vision', 'Voyager', 'Others']"
Citroen,"['200', '300 M', '300 SRT', '300C', 'Aspen', 'Crossfire', 'Daytona', 'C-Crosser', 'C-Elysée', 'C-Zero', 'C1', 'C15', 'C2', 'C25', 'C3 (all)', '   C3', '   C3 Aircross', '   C3 Picasso', 'C35', 'C4 (all)', '   C4', '   C4 Aircross', '   C4 Cactus', '   C4 Picasso', '   C4 SpaceTourer', '   E-C4 Electric', '   Grand C4 Picasso', '   Grand C4 SpaceTourer']"
CityEL,"['2CV', 'Acadiane', 'Ami', 'Others']"
Corvette,"['CityEL', 'CityEL Fact Four', 'MiniEL', 'Others']"
Cupra,"['C1', 'C2', 'C3', 'C4', 'C5', 'Ibiza', 'Leon', 'Tavascan', 'Others']"
DAF,"['Aranos', 'Damas', 'Espero', 'Evanda', 'Kalos']"
DFSK,"['DB 721', 'Others']"
DR Motor,"['D8', 'S8', 'Others']"
DS Automobiles,"['City Cross', 'DR EVO5', 'DR F35', 'DR Zero', 'DS 5', 'DS 7', 'DS 7 Crossback', 'DS 9', 'Others']"
Dacia,"['Arona', 'Ateca', 'Born', 'Formentor', 'Formentor VZ5', 'Ibiza', 'Duster', 'Jogger', 'Lodgy']"
Daewoo,"['1310', 'Berlina', 'Break', 'Dokker', 'Double Cab', 'Korando', 'Lacetti', 'Lanos', 'Leganza', 'Lublin', 'Matiz', 'Musso', 'Nexia', 'Nubira', 'Rexton', 'Rezzo']"
Daihatsu,"['400', '428', '435', 'Others']"
Daimler,"['Applause', 'Charade', 'Charmant', 'Copen', 'Cuore', 'Super V8']"
Dangel,"['Double Six', 'Others', 'Six', 'Sovereign', 'Super Eight', 'Super V8']"
De Tomaso,"['Atalante 57S', 'Grand-Prix', 'Roadster', 'Type 55 Roadster', 'Type 55 Tourer', 'Others']"
De la Chapelle,"['504', '505', 'Berlingo', 'Boxer', 'C15', 'C25', 'Ducato']"
Delorean,"['Biguà', 'Deauville', 'Guarà', 'Longchamp', 'Mangusta', 'Pantera', 'Vallelunga']"
Devinci Cars,"['DMC-12', 'Others']"
Dodge,"['C31', 'C32', 'C35', 'C37', 'City Pickup', 'EC 35', 'Dakota', 'Dart', 'Demon', 'Durango', 'Grand Caravan', 'Intrepid', 'Journey', 'Magnum', 'Neon', 'Nitro', 'RAM', 'Stealth', 'Stratus', 'Van', 'Viper']"
Donkervoort,"['Avenger', 'Caliber', 'Caravan']"
Dutton,"['DS 3', 'DS 3 Crossback', 'DS 4', 'DS 4 Crossback', 'DS 5', 'Legerra', 'Malaga', 'Malaga B+', 'Melos']"
EMC,"['EV Angel', 'EVA', 'Vintage', 'Others']"
EVO,"['Openair', 'Prima', 'Others']"
Econelo,"['Life 20', 'Life 40', 'Life 60', 'Life First Edition', 'Mover', 'Others']"
Edran,"['M1', 'S1', 'Others']"
Elaris,"['MK1', 'Others']"
Embuggy,"['Beo', 'Finn', 'Pio', 'Others']"
Estrima,"['Wave 3', 'Others']"
Evetta,"['Birò', 'Others']"
FISKER,"['124 Coupè', '124 Spider', 'Latigo CS', 'Orbit', 'Others']"
Ferrari,"['Cross4', 'EVO Electric', 'EVO3', 'EVO4', '250', '275', '288']"
Fiat,"['124 Coupè', '124 Spider', '126', '127', '128', '130', '131', '132', '133', '2300', '242', '500', '500 Abarth', '500C', '500C Abarth', '500e', '500L', '500X', '595 Abarth', '600', '850', '900', 'Albea', 'Argenta', 'Barchetta', 'Brava', 'Bravo', 'Campagnola', 'Cinquecento', 'Coupe', 'Croma', 'Dino', 'Doblo', '   Doblo', '   E-Doblo', 'Ducato', 'Duna', 'E-Ulysse', 'Fiorino', 'Freemont', 'Fullback', 'Grande Punto', 'Idea', 'Linea', 'Marea', 'Marengo', 'Maxi', 'Multipla', 'New Panda', 'Palio', 'Panda', 'Penny', 'Pininfarina']"
Ford,"['1 Series (all)', '   114', '   116', '   118', '   120', '   123', 'Consul', 'Cougar', 'Courier', 'Crown', 'Customline', 'Econoline', 'Econovan', 'EcoSport', 'Edge', 'Escape', 'Escort', 'Excursion', 'Expedition', 'Explorer', 'Express', 'F 1', 'F 100', 'F 150', 'F 250', 'F 350', 'F 360', 'F 450', 'F 550', 'F 650', 'F Super Duty', 'Fairlane', 'Falcon', 'Fiesta', 'Flex', 'Focus', 'Focus C-Max', 'Focus CC', 'Freestar', 'Freestyle', 'Fusion', 'Galaxy', 'Gran Torino', 'Granada', 'Grand C-Max', 'Grand Tourneo', 'GT', 'Ka/Ka+', 'Kuga', 'M', 'Maverick', 'Mercury', 'Mondeo', 'Mustang', 'Mustang Mach-E', 'Orion', 'Probe', 'Puma', 'Ranger (all)', '   Ranger', '   Ranger Raptor', 'RS 200', 'S-Max', 'Scorpio', 'Sierra', 'Sportka', 'Streetka', 'Taunus', 'Taurus', 'Thunderbird', 'Torino', 'Tourneo (all)', '   Tourneo', '   Tourneo Connect', '   Tourneo Courier', '   Tourneo Custom', 'Transit (all)', '   E-Transit', '   Transit', '   Transit Bus', '   Transit Connect', '   Transit Courier', '   Transit Custom', 'Windstar', 'Others']"
GAZ,"['Trike', 'Others']"
GEM,"['22171', '22177', '2310', 'eL', 'eM', 'eS', 'Four', 'Others', 'Two']"
GEMBALLA,"['e2', 'e4', 'e6', 'eL', 'eM', 'eS', 'Mistrale', 'Tornado', 'Others']"
GMC,"['Gladiator', 'Gyppo', 'Others']"
GTA,"['Amica', 'EKE', 'Others', 'Sonique']"
Gac Gonow,"['EMotion', 'Karma', 'Latigo CS', 'Orbit', 'Others']"
Galloper,"['GA200', 'GA500', 'GX6', 'Troy', 'Victor']"
