,model_data
Suzuki,"['1200', '1800', 'Ascent', 'Cappuccino', 'Carry', 'Celerio', 'Escudo', 'Grand Vitara', 'Ignis', 'Ik-2', 'Jimny', 'Kizashi', 'Liana', 'LJ 80', 'Maruti', 'S-Cross', 'SA 310', 'Samurai', 'Santana', 'SJ 410', 'SJ 413', 'SJ Samurai', 'Splash', 'Super-Carry', 'Swace', 'Swift', 'SX4', 'SX4 S-Cross', 'Vitara', 'Wagon R+']"
TECHART,"['EM1 Anniversary', 'EM1 Citysport', 'Zero City', 'Zero Classic', 'Zero EM1']"
TVR,"['Atlas', 'Cat', 'Citroen', 'Griffith', 'S 2,8', 'S2', 'S3', 'S4', 'Sagaris', 'T350', 'Tamora', 'Tuscan', 'V8S', 'Others']"
Talbot,"['Across', 'Alto', 'Baleno', 'Matra Rancho', 'Samba', 'Simca 1100', 'Simca 1510', 'Solar GL', 'Solar LS', 'Solar Ralley', 'Solara', 'Sunbeam', 'Tagora', 'Others']"
Tasso,"['Alpine', 'Horizon', 'Matra Murena', 'Matra Rancho', 'Samba', 'King', 'Others', 'T2', 'T3', 'TD']"
Tata,"['Bingo', 'C1DB', 'C1DM', 'Domino', 'Hola', 'Indica', 'Indigo', 'Nano', 'Nexon', 'Pick-Up']"
Tazzari EV,"['Aria', 'EM1 Citysport', 'Zero City', 'Zero Classic', 'Zero EM1', 'Zero EM2', 'Zero Evo', 'Zero Junior', 'Zero SE', 'Zero Special Edition', 'Zero Speedster', 'Others']"
Tesla,['Others']
Town Life,"['Cybertruck', 'Model 3', 'Model S', 'Model X', 'Model Y', 'Roadster']"
Toyota,"['Ginevra', 'Helektra', 'Others']"
Trabant,"['1.1', 'P50', 'P60', 'P601', 'Rallye', 'Trabant', 'Others']"
Trailer-Anhänger,"['1.1', 'P50', 'P60', 'P601', 'Rallye']"
Triumph,['Others']
Trucks-Lkw,"['Dolomite', 'GT6', 'Herald', 'Daewoo', 'DAF', 'Deutz-Fahr', 'Fiat', 'Ford', 'Fuchs', 'Hanomag', 'Hitachi', 'Iveco', 'Iveco Magirus', 'Iveco-Fiat', 'Jungheinrich']"
UAZ,"['Cerbera', 'Chimaera', 'Grantura', 'Griffith', 'S 2,8', '3160', '3162', '3303', '3692', '3909', '3962', '469', 'Buchanka', 'Classic']"
VAZ,"['Carmel', 'Edison 2', 'Edison 4', 'Venice', '1117', '1118', '1119', '1706']"
VEM,"['Cargo', 'Cover', 'Double', 'Multi', 'Open', 'People', 'Ribaltabile', 'Others']"
Vanden Plas,"['2206', '2315', '3151', '3153']"
Vanderhall,"['Armstrong', 'Princess', 'Others']"
VinFast,"['Cargo', 'Cover', 'Double', 'Multi']"
Volkswagen,"['Adam', 'Agila', 'Ampera', 'Ampera-E', 'Antara', 'Arena', 'Ascona', 'Astra', 'Calibra', 'Campo', 'Cascada', 'Combo', 'Combo Life', 'Combo-e', 'Cross Touran', 'Derby', 'e-up!', 'Eos', 'Escarabajo', 'Fox', 'Golf (all)', '   Cross Golf', '   e-Golf', '   Golf', '   Golf Cabriolet', '   Golf GTE', '   Golf GTI', '   Golf Plus', '   Golf Sportsvan', '   Golf Variant', 'Grand California', 'ID. Buzz (all)', '   ID. Buzz', '   ID. Buzz Cargo', 'ID.3', 'ID.4', 'ID.5', 'ID.6', 'Iltis', 'Jetta', 'Käfer', 'Karmann Ghia', 'Kever', 'L80', 'LT', 'Lupo', 'Maggiolino', 'New Beetle', 'Passat (all)', '   Passat', '   Passat Alltrack', '   Passat CC', '   Passat Variant']"
Volvo,"['VF 8', 'VF 9', 'Others']"
Wartburg,"['1.3', '1.6', '1000', '311', '312', '313', '353', 'Barkas', 'Framo', 'IFA F9', 'WARTBURG', 'Others']"
Weltmeister,"['1.3', '1.6', '1000', '311']"
Wenckstern,"['EX5-Z', 'EX6 Plus', 'W6', 'Others']"
Westfield,"['Full Custom', 'Standard', 'Standard Custom', 'Others']"
Wiesmann,"['7SE', 'FW400', 'Megablade', 'MF 30', 'MF 4', 'MF 5', 'Others']"
XBus,"['Gecko', 'MF 28', 'MF 3', 'MF 30', 'MF 4']"
XEV,"['Bus', 'Others']"
ZAZ,"['10', '101', '1100 TF', '125 PZ', '128', '1300', 'Sens', 'Vida', 'Others']"
Zastava,"['Kitty', 'Yoyo', 'Others']"
Zhidou,"['1102', '1103', '1105', 'Chance', 'Forza', 'Lanos']"
Zotye,"['D1', 'D2', 'D2S', 'D3', 'Traum Meet 3']"
e.GO,"['B Plus', 'B Plus Series 2', 'B Type', 'Life First Edition', 'Mover', 'Others']"
smart,"['105', '120', 'crossblade', 'forFour', 'forTwo', 'roadster', 'smart #1', 'Others']"
